anon_ID,county,poverty,minority,age_group
40,Montgomery,No,NA,G
167,Montgomery,No,No,P
359,Montgomery,Yes,NA,NA
303,Montgomery,Yes,NA,G
372,Montgomery,Yes,No,T
338,Montgomery,No,NA,G
249,Montgomery,Yes,No,P
357,Montgomery,Yes,NA,T
91,Montgomery,Yes,Yes,D
570,Montgomery,Yes,NA,NA
68,Montgomery,No,NA,G
87,Montgomery,Yes,NA,G
410,Montgomery,Yes,No,D
152,Montgomery,Yes,NA,NA
496,Montgomery,No,No,P
302,Montgomery,Yes,NA,G
550,Montgomery,Yes,NA,P
286,Montgomery,No,NA,G
471,Montgomery,No,NA,D
274,Montgomery,No,NA,D
438,Montgomery,Yes,NA,P
270,Montgomery,No,NA,T
431,Montgomery,No,NA,P
386,Montgomery,No,NA,G
364,Montgomery,No,NA,P
491,Montgomery,Yes,NA,G
527,Montgomery,No,NA,P
380,Montgomery,No,Yes,D
5,Montgomery,No,NA,G
343,Montgomery,Yes,NA,T
604,Montgomery,Yes,No,T
87,Montgomery,Yes,NA,D
7,Montgomery,No,No,P
518,Montgomery,Yes,NA,G
267,Montgomery,No,NA,P
108,Montgomery,Yes,NA,G
596,Montgomery,Yes,NA,G
634,Montgomery,Yes,Yes,D
394,Montgomery,Yes,NA,P
274,Montgomery,No,NA,T
213,Montgomery,No,NA,G
192,Montgomery,No,No,P
420,Montgomery,Yes,Yes,D
625,Montgomery,Yes,Yes,T
285,Montgomery,No,No,P
38,Montgomery,No,No,P
244,Montgomery,No,NA,G
134,Montgomery,No,NA,T
554,Montgomery,No,Yes,D
74,Montgomery,No,NA,NA
514,Montgomery,Yes,NA,G
259,Montgomery,No,NA,G
433,Montgomery,Yes,NA,D
174,Montgomery,No,NA,G
416,Montgomery,Yes,No,G
349,Montgomery,No,NA,P
504,Montgomery,No,Yes,P
228,Montgomery,No,No,G
548,Montgomery,Yes,No,D
293,Montgomery,Yes,NA,G
385,Montgomery,Yes,NA,NA
265,Montgomery,No,NA,T
60,Montgomery,Yes,NA,D
379,Montgomery,Yes,NA,G
309,Montgomery,Yes,NA,D
155,Montgomery,Yes,Yes,P
627,Montgomery,Yes,NA,G
179,Montgomery,Yes,NA,G
159,Montgomery,Yes,NA,G
160,Montgomery,No,NA,D
572,Montgomery,Yes,NA,NA
238,Montgomery,Yes,NA,G
124,Montgomery,Yes,NA,G
297,Montgomery,No,No,D
311,Montgomery,Yes,NA,G
118,Montgomery,No,NA,T
390,Montgomery,No,No,P
188,Montgomery,No,No,T
600,Montgomery,No,NA,T
195,Montgomery,No,NA,T
327,Montgomery,Yes,No,G
531,Montgomery,No,NA,P
485,Montgomery,No,NA,P
79,Montgomery,Yes,NA,T
194,Montgomery,No,No,D
17,Montgomery,No,NA,G
187,Montgomery,Yes,NA,G
576,Montgomery,Yes,NA,D
476,Montgomery,Yes,No,P
355,Montgomery,Yes,NA,T
107,Montgomery,Yes,NA,G
382,Montgomery,Yes,No,D
632,Montgomery,Yes,NA,D
448,Montgomery,No,NA,T
328,Montgomery,No,NA,P
375,Montgomery,Yes,NA,G
272,Montgomery,Yes,No,G
83,Montgomery,Yes,NA,NA
181,Montgomery,Yes,NA,NA
353,Montgomery,Yes,NA,G
577,Montgomery,Yes,NA,G
36,Montgomery,Yes,NA,NA
224,Montgomery,No,NA,P
562,Montgomery,No,NA,D
481,Montgomery,Yes,NA,G
205,Montgomery,No,NA,D
348,Montgomery,Yes,NA,NA
64,Montgomery,Yes,NA,NA
145,Montgomery,No,NA,T
376,Montgomery,No,NA,D
240,Montgomery,Yes,NA,G
571,Montgomery,No,NA,T
37,Montgomery,Yes,NA,G
262,Montgomery,Yes,NA,NA
21,Montgomery,Yes,NA,P
169,Montgomery,Yes,NA,NA
301,Montgomery,Yes,NA,G
15,Montgomery,No,No,D
612,Montgomery,Yes,NA,G
298,Montgomery,No,NA,P
610,Montgomery,No,NA,D
430,Montgomery,No,NA,G
123,Montgomery,Yes,NA,G
633,Montgomery,Yes,NA,G
622,Montgomery,Yes,NA,P
253,Montgomery,Yes,NA,P
176,Montgomery,Yes,NA,NA
547,Montgomery,Yes,NA,D
606,Montgomery,Yes,NA,NA
234,Montgomery,Yes,NA,G
212,Montgomery,Yes,NA,NA
32,Montgomery,Yes,NA,NA
616,Montgomery,Yes,NA,NA
99,Montgomery,Yes,NA,NA
231,Montgomery,Yes,Yes,G
591,Montgomery,Yes,NA,G
484,Montgomery,Yes,NA,NA
88,Montgomery,Yes,NA,NA
13,Montgomery,No,NA,T
545,Montgomery,Yes,NA,NA
288,Montgomery,Yes,NA,NA
255,Montgomery,Yes,NA,G
115,Montgomery,Yes,NA,NA
16,Montgomery,Yes,NA,NA
291,Montgomery,Yes,NA,D
617,Montgomery,Yes,NA,G
465,Montgomery,Yes,NA,G
519,Montgomery,Yes,NA,NA
441,Montgomery,No,NA,G
566,Montgomery,No,NA,D
608,Montgomery,Yes,NA,G
121,Montgomery,Yes,NA,NA
12,Montgomery,Yes,NA,G
458,Montgomery,Yes,NA,G
220,Montgomery,No,NA,T
636,Montgomery,Yes,NA,D
161,Montgomery,No,NA,D
442,Montgomery,Yes,NA,G
149,Montgomery,Yes,NA,G
120,Montgomery,No,No,D
534,Montgomery,Yes,NA,NA
495,Montgomery,Yes,NA,NA
25,Montgomery,Yes,NA,G
434,Montgomery,No,NA,D
400,Montgomery,Yes,NA,NA
546,Montgomery,Yes,NA,G
437,Montgomery,Yes,NA,G
193,Montgomery,Yes,NA,NA
467,Montgomery,Yes,NA,D
148,Montgomery,Yes,NA,NA
113,Montgomery,No,Yes,T
26,Montgomery,No,NA,D
156,Montgomery,No,No,T
370,Montgomery,No,NA,P
474,Montgomery,No,NA,D
347,Montgomery,Yes,No,D
8,Montgomery,Yes,Yes,T
11,Montgomery,No,NA,P
512,Montgomery,Yes,NA,T
331,Montgomery,No,NA,D
245,Montgomery,Yes,NA,G
480,Montgomery,Yes,Yes,D
378,Montgomery,Yes,NA,G
440,Montgomery,No,NA,T
595,Montgomery,No,NA,P
144,Montgomery,Yes,No,G
453,Montgomery,No,NA,G
506,Montgomery,No,NA,T
381,Montgomery,Yes,NA,G
143,Montgomery,Yes,No,T
556,Montgomery,Yes,NA,D
127,Montgomery,Yes,NA,G
20,Montgomery,Yes,NA,G
117,Montgomery,No,No,D
30,Montgomery,No,NA,D
23,Montgomery,No,NA,G
132,Montgomery,Yes,No,T
366,Montgomery,No,NA,G
425,Montgomery,Yes,NA,G
135,Montgomery,No,NA,D
102,Montgomery,Yes,NA,G
184,Montgomery,No,No,D
242,Montgomery,Yes,NA,NA
71,Montgomery,No,No,T
200,Montgomery,No,NA,T
621,Montgomery,Yes,NA,G
563,Montgomery,Yes,NA,G
277,Montgomery,Yes,NA,G
307,Montgomery,No,NA,G
611,Montgomery,Yes,NA,G
575,Montgomery,No,NA,D
1,Montgomery,No,NA,P
552,Montgomery,Yes,No,D
499,Montgomery,Yes,NA,NA
130,Montgomery,Yes,NA,NA
494,Montgomery,Yes,NA,G
497,Montgomery,No,NA,D
105,Montgomery,Yes,NA,P
368,Montgomery,No,Yes,G
345,Montgomery,No,NA,T
330,Montgomery,Yes,NA,D
76,Montgomery,Yes,NA,G
236,Montgomery,Yes,NA,P
305,Montgomery,Yes,NA,G
126,Montgomery,No,NA,P
528,Montgomery,Yes,No,T
503,Montgomery,No,NA,T
266,Montgomery,No,NA,D
443,Montgomery,Yes,NA,NA
335,Montgomery,No,NA,T
182,Montgomery,Yes,NA,G
411,Montgomery,Yes,NA,T
197,Montgomery,Yes,NA,NA
102,Montgomery,Yes,NA,NA
178,Montgomery,No,NA,NA
588,Montgomery,Yes,Yes,NA
502,Montgomery,Yes,Yes,NA
232,Montgomery,Yes,NA,NA
361,Montgomery,Yes,Yes,NA
478,Montgomery,Yes,NA,NA
599,Montgomery,No,NA,NA
122,Montgomery,No,NA,NA
611,Montgomery,Yes,NA,NA
475,Montgomery,Yes,No,NA
369,Montgomery,Yes,NA,NA
405,Montgomery,Yes,NA,NA
273,Montgomery,Yes,NA,NA
456,Montgomery,Yes,NA,NA
257,Montgomery,No,NA,NA
516,Montgomery,No,No,NA
565,Montgomery,Yes,NA,NA
73,Montgomery,Yes,NA,NA
263,Montgomery,Yes,NA,NA
335,Montgomery,No,NA,NA
145,Montgomery,No,NA,NA
625,Montgomery,Yes,Yes,NA
544,Montgomery,No,NA,NA
436,Montgomery,Yes,Yes,NA
322,Montgomery,Yes,NA,NA
51,Montgomery,No,NA,NA
210,Montgomery,No,Yes,NA
46,Montgomery,Yes,NA,NA
450,Montgomery,Yes,NA,NA
215,Montgomery,Yes,NA,NA
293,Montgomery,Yes,NA,NA
562,Montgomery,No,NA,NA
29,Montgomery,No,NA,NA
517,Montgomery,Yes,NA,NA
309,Montgomery,Yes,NA,NA
440,Montgomery,No,NA,NA
487,Montgomery,Yes,NA,NA
33,Montgomery,No,No,NA
67,Montgomery,Yes,NA,NA
226,Montgomery,No,NA,NA
5,Montgomery,No,NA,NA
409,Montgomery,Yes,NA,NA
116,Montgomery,Yes,NA,NA
191,Montgomery,No,NA,NA
318,Montgomery,Yes,NA,NA
308,Montgomery,Yes,Yes,NA
406,Montgomery,No,No,NA
72,Montgomery,Yes,Yes,NA
77,Montgomery,Yes,NA,NA
310,Montgomery,Yes,NA,NA
86,Montgomery,Yes,NA,NA
319,Montgomery,No,NA,NA
507,Montgomery,Yes,NA,NA
384,Montgomery,Yes,NA,NA
45,Montgomery,No,NA,NA
251,Montgomery,Yes,NA,NA
461,Montgomery,Yes,NA,NA
34,Montgomery,Yes,NA,NA
614,Montgomery,Yes,NA,NA
622,Montgomery,Yes,NA,NA
140,Montgomery,Yes,NA,NA
350,Montgomery,Yes,NA,NA
44,Montgomery,No,NA,NA
185,Montgomery,No,NA,NA
470,Montgomery,No,NA,NA
330,Montgomery,Yes,NA,NA
500,Montgomery,Yes,NA,NA
117,Montgomery,No,No,NA
529,Montgomery,Yes,Yes,NA
15,Montgomery,No,No,NA
244,Montgomery,No,NA,NA
284,Montgomery,No,NA,NA
468,Montgomery,No,NA,NA
382,Montgomery,Yes,No,NA
104,Montgomery,No,NA,NA
119,Montgomery,Yes,NA,NA
106,Montgomery,No,NA,NA
609,Montgomery,Yes,No,NA
564,Montgomery,No,NA,NA
66,Montgomery,Yes,NA,NA
553,Montgomery,No,NA,NA
233,Montgomery,Yes,NA,NA
221,Montgomery,Yes,NA,NA
151,Montgomery,No,NA,NA
35,Montgomery,No,NA,NA
418,Montgomery,Yes,NA,NA
129,Montgomery,Yes,NA,NA
39,Montgomery,Yes,NA,NA
300,Montgomery,No,NA,NA
347,Montgomery,Yes,No,NA
403,Montgomery,Yes,NA,NA
515,Montgomery,No,NA,NA
530,Montgomery,Yes,Yes,NA
439,Montgomery,Yes,NA,NA
586,Montgomery,Yes,Yes,NA
14,Montgomery,Yes,Yes,NA
55,Montgomery,No,NA,NA
618,Montgomery,Yes,NA,NA
336,Montgomery,No,No,NA
337,Montgomery,No,NA,NA
186,Montgomery,No,NA,NA
168,Montgomery,No,Yes,NA
451,Montgomery,Yes,NA,NA
175,Montgomery,No,NA,NA
252,Montgomery,Yes,NA,NA
320,Montgomery,Yes,Yes,NA
391,Montgomery,No,NA,NA
162,Montgomery,Yes,NA,NA
498,Montgomery,Yes,NA,NA
358,Montgomery,Yes,NA,NA
367,Montgomery,Yes,NA,NA
601,Montgomery,Yes,NA,NA
312,Montgomery,Yes,NA,NA
449,Montgomery,Yes,No,NA
296,Montgomery,Yes,No,NA
607,Montgomery,Yes,Yes,NA
109,Montgomery,Yes,NA,NA
376,Montgomery,No,NA,NA
628,Montgomery,Yes,NA,NA
201,Montgomery,Yes,NA,NA
568,Montgomery,Yes,NA,NA
84,Montgomery,Yes,NA,NA
2,Montgomery,No,No,NA
462,Montgomery,Yes,NA,NA
383,Montgomery,Yes,No,NA
143,Montgomery,Yes,No,NA
314,Montgomery,No,Yes,NA
317,Montgomery,Yes,Yes,NA
141,Montgomery,Yes,NA,NA
28,Montgomery,Yes,NA,NA
171,Montgomery,Yes,NA,NA
524,Montgomery,Yes,NA,NA
375,Montgomery,Yes,NA,NA
505,Montgomery,Yes,Yes,NA
354,Montgomery,Yes,NA,NA
526,Montgomery,Yes,NA,NA
356,Montgomery,Yes,NA,NA
22,Montgomery,Yes,NA,NA
112,Montgomery,Yes,NA,NA
413,Montgomery,No,NA,NA
128,Montgomery,Yes,Yes,NA
589,Montgomery,Yes,NA,NA
57,Montgomery,No,NA,NA
421,Montgomery,No,Yes,NA
585,Montgomery,No,NA,NA
153,Montgomery,Yes,NA,NA
511,Montgomery,Yes,NA,NA
43,Montgomery,No,NA,NA
619,Montgomery,Yes,NA,NA
97,Montgomery,Yes,NA,NA
11,Montgomery,No,NA,NA
561,Montgomery,Yes,No,NA
590,Montgomery,Yes,NA,NA
542,Montgomery,No,NA,NA
227,Montgomery,Yes,NA,NA
328,Montgomery,No,NA,NA
551,Montgomery,No,NA,NA
91,Montgomery,Yes,Yes,NA
27,Montgomery,No,NA,NA
613,Montgomery,No,NA,NA
50,Montgomery,Yes,NA,NA
94,Montgomery,No,NA,NA
576,Montgomery,Yes,NA,NA
271,Montgomery,Yes,NA,NA
56,Montgomery,Yes,NA,NA
125,Montgomery,No,NA,NA
433,Montgomery,Yes,NA,NA
160,Montgomery,No,NA,NA
180,Montgomery,Yes,NA,NA
26,Montgomery,No,NA,NA
138,Montgomery,Yes,NA,NA
492,Montgomery,Yes,NA,NA
446,Montgomery,No,NA,NA
341,Montgomery,Yes,No,NA
111,Montgomery,Yes,NA,NA
578,Montgomery,No,NA,NA
417,Montgomery,No,NA,NA
559,Montgomery,No,NA,NA
258,Montgomery,Yes,NA,NA
163,Montgomery,Yes,NA,NA
316,Montgomery,Yes,Yes,NA
177,Montgomery,Yes,NA,NA
222,Montgomery,Yes,Yes,NA
304,Montgomery,Yes,Yes,NA
533,Montgomery,No,NA,NA
89,Montgomery,No,NA,NA
531,Montgomery,No,NA,NA
395,Montgomery,Yes,NA,NA
207,Montgomery,No,NA,NA
52,Montgomery,No,NA,NA
248,Montgomery,Yes,NA,NA
525,Montgomery,No,NA,NA
17,Montgomery,No,NA,NA
635,Montgomery,Yes,NA,NA
560,Montgomery,No,NA,NA
600,Montgomery,No,NA,NA
192,Montgomery,No,No,NA
170,Montgomery,No,NA,NA
639,Montgomery,Yes,NA,NA
142,Montgomery,Yes,NA,NA
199,Montgomery,No,NA,NA
101,Montgomery,Yes,NA,NA
604,Montgomery,Yes,No,NA
237,Montgomery,Yes,NA,NA
582,Montgomery,No,No,NA
346,Montgomery,Yes,NA,NA
139,Montgomery,Yes,No,NA
508,Montgomery,Yes,No,NA
340,Montgomery,Yes,Yes,NA
476,Montgomery,Yes,No,NA
634,Montgomery,Yes,Yes,NA
189,Montgomery,Yes,No,NA
593,Montgomery,No,No,NA
569,Montgomery,Yes,NA,NA
40,Montgomery,No,NA,NA
338,Montgomery,No,NA,NA
605,Montgomery,Yes,NA,NA
303,Montgomery,Yes,NA,NA
8,Montgomery,Yes,Yes,NA
536,Montgomery,Yes,NA,NA
489,Montgomery,No,NA,NA
306,Montgomery,Yes,NA,NA
194,Montgomery,No,No,NA
202,Montgomery,Yes,NA,NA
370,Montgomery,No,NA,NA
321,Montgomery,No,NA,NA
195,Montgomery,No,NA,NA
224,Montgomery,No,NA,NA
426,Montgomery,Yes,Yes,NA
437,Montgomery,Yes,NA,NA
584,Montgomery,Yes,NA,NA
276,Montgomery,Yes,No,NA
327,Montgomery,Yes,No,NA
267,Montgomery,No,NA,NA
292,Montgomery,No,NA,NA
401,Montgomery,Yes,NA,NA
299,Montgomery,Yes,No,NA
132,Montgomery,Yes,No,NA
567,Montgomery,Yes,NA,NA
333,Montgomery,Yes,No,NA
315,Montgomery,Yes,NA,NA
430,Montgomery,No,NA,NA
