anon_donor_id,zip,status,do_not_mail,do_not_call,organisation,date,amount,form,campaign,target
565,19072,Active,FALSE,FALSE,N,03/26/2019,200,Check,Fall Towns,Gift
92,19003,Active,FALSE,FALSE,N,03/27/2019,40,Check,Clients,Gift
920,19010,Active,FALSE,FALSE,N,03/28/2019,1105,Check,Church,Gift
386,19010,Active,FALSE,FALSE,N,03/28/2019,100,Check,Fall Towns,Gift
461,19026,Active,FALSE,FALSE,N,03/28/2019,35,Check,Emerg fund,Gift
418,NA,Active,FALSE,FALSE,N,03/29/2019,50,Check,Fall Towns,Gift
372,19107,Active,FALSE,FALSE,N,03/29/2019,250,Check,Foundation,Gift
709,19041,Active,FALSE,FALSE,N,03/29/2019,1000,Check,Sprg Evt,Gift
135,19003,Active,FALSE,FALSE,Y,03/29/2019,67.7,Check,Escort Dri,Gift
595,19399,Active,FALSE,FALSE,N,03/31/2019,250,Check,Sprg Evt,Gift
947,19096,Active,FALSE,FALSE,N,04/01/2019,100,Check,Fall Towns,Gift
298,19010,Active,FALSE,FALSE,N,04/01/2019,50,Check,Fall Towns,Gift
809,19010,Active,FALSE,FALSE,N,04/01/2019,100,Check,Sprg Evt,Gift
743,NA,Active,FALSE,FALSE,Y,04/01/2019,4,Check,Fall Towns,Gift
30,19127,Active,FALSE,FALSE,N,04/02/2019,100,Check,Fall Towns,Gift
326,19096,Active,FALSE,FALSE,N,04/03/2019,100,Check,Sprg Evt,Gift
743,NA,Active,FALSE,FALSE,Y,04/03/2019,3,Check,Fall Towns,Gift
619,19041,Active,FALSE,FALSE,N,04/04/2019,250,Check,Sprg Evt,Gift
209,19035,Active,FALSE,FALSE,Y,04/05/2019,1000,Check,Sprg Evt,Gift
724,19072,Active,FALSE,FALSE,N,04/06/2019,25,Check,Fall Towns,Gift
935,19083,Active,FALSE,FALSE,N,04/07/2019,60,Check,Sprg Evt,Gift
948,19003,Active,FALSE,FALSE,N,04/08/2019,50,Check,Sprg Evt,Gift
825,19096,Active,FALSE,FALSE,N,04/08/2019,25,Check,Fall Towns,Gift
451,19087,Active,FALSE,FALSE,N,04/08/2019,75,Check,Sprg Evt,Gift
447,19096,Active,FALSE,FALSE,N,04/08/2019,60,Check,Sprg Evt,Gift
448,19035,Active,FALSE,FALSE,N,04/08/2019,100,Check,Sprg Evt,Gift
674,NA,Active,FALSE,FALSE,N,04/08/2019,100,Check,Fall Towns,Gift
1044,19355,Active,FALSE,FALSE,N,04/09/2019,75,Check,Sprg Evt,Gift
411,19083,Active,FALSE,FALSE,N,04/09/2019,30,Check,Sprg Evt,Gift
474,19085,Active,FALSE,FALSE,N,04/09/2019,250,Check,Sprg Evt,Gift
879,19041,Active,FALSE,FALSE,N,04/09/2019,150,Check,Sprg Evt,Gift
83,19428,Active,FALSE,FALSE,N,04/09/2019,10000,Check,Emerg fund,Gift
860,10038,Active,FALSE,FALSE,N,04/10/2019,16,Check,Misc,Gift
1037,19096,Active,FALSE,FALSE,N,04/10/2019,54,Check,Sprg Evt,Gift
119,19041,Active,FALSE,FALSE,N,04/10/2019,75,Check,Sprg Evt,Gift
653,19066,Active,FALSE,FALSE,N,04/10/2019,250,Check,Sprg Evt,Gift
499,19406,Active,FALSE,FALSE,N,04/10/2019,25,Check,Sprg Evt,Gift
547,19066,Active,FALSE,FALSE,N,04/10/2019,460,Check,Sprg Evt,Gift
128,19010,Active,FALSE,FALSE,N,04/10/2019,75,Check,Sprg Evt,Gift
960,19087,Active,FALSE,FALSE,N,04/10/2019,500,Check,CAC,Gift
972,19096,Active,FALSE,FALSE,N,04/10/2019,60,Check,Sprg Evt,Gift
972,19096,Active,FALSE,FALSE,N,04/10/2019,250,Check,Sprg Evt,Gift
679,19010,Active,FALSE,FALSE,N,04/11/2019,150,Check,Sprg Evt,Gift
479,19096,Active,FALSE,FALSE,N,04/11/2019,75,Check,Sprg Evt,Gift
547,19066,Active,FALSE,FALSE,N,04/11/2019,100,Check,Sprg Evt,Gift
1028,19010,Active,FALSE,FALSE,Y,04/12/2019,300,Check,Emerg fund,Gift
796,19010,Active,FALSE,FALSE,N,04/12/2019,150,Check,Sprg Evt,Gift
135,19003,Active,FALSE,FALSE,Y,04/12/2019,20000,Check,Foundation,Gift
420,19096,Active,FALSE,FALSE,N,04/13/2019,100,Check,Sprg Evt,Gift
819,19072,Active,FALSE,FALSE,N,04/13/2019,100,Check,Sprg Evt,Gift
113,19066,Active,FALSE,FALSE,N,04/14/2019,150,Check,Sprg Evt,Gift
