GEOID,NAME,tot_popE,hispanicE,nh_whiteE,nh_blackE,nh_aianE,nh_asianE,nh_pacislanderE,non_citizenE,hispanicE_share,nh_whiteE_share,nh_blackE_share,nh_aianE_share,nh_asianE_share,nh_pacislanderE_share,non_citizenE_share,over55,disability_est,mhi,ZCTA5CE20
19454,ZCTA5 19454,28977,592,21203,1453,0,5134,20,1426,0.02042999620388584,0.7317182593091073,0.050143217034199536,0,0.17717500086275323,6.902025744556028e-4,0.049211443558684474,9465,2676,95128,19454
19462,ZCTA5 19462,15811,713,12218,1162,0,1320,0,487,0.04509518689519954,0.7727531465435457,0.07349313768895073,0,0.0834861805072418,0,0.03080134083865663,5080,1487,97635,19462
19464,ZCTA5 19464,46904,2244,34332,7378,11,768,0,653,0.04784240150093809,0.7319631587924271,0.15730001705611463,2.3452157598499062e-4,0.016373870032406618,0,0.013922053556199897,13022,6490,62956,19464
19002,ZCTA5 19002,32241,1413,25491,1567,10,2846,0,1121,0.04382618405136317,0.7906392481622778,0.048602710834031206,3.101640767966254e-4,0.08827269625631959,0,0.03476939300890171,11126,2524,110041,19002
18915,ZCTA5 18915,784,0,608,0,0,129,0,130,0,0.7755102040816326,0,0,0.16454081632653061,0,0.16581632653061223,256,186,104444,18915
18960,ZCTA5 18960,11898,402,10875,122,26,223,0,291,0.033787191124558746,0.9140191628845185,0.01025382417212977,0.0021852412170112624,0.018742645822827367,0,0.024457892082702975,4289,1092,77472,18960
18966,ZCTA5 18966,37739,859,35074,479,68,959,0,700,0.022761599406449562,0.9293833964863933,0.012692440181244866,0.0018018495455629454,0.02541137814992448,0,0.01854845120432444,14220,3616,99067,18966
19118,ZCTA5 19118,10884,688,7315,2006,0,530,0,468,0.06321205439176773,0.6720874678427049,0.18430723998529952,0,0.048695332598309445,0,0.04299889746416759,3853,981,89422,19118
19128,ZCTA5 19128,37644,1532,28485,5105,67,1147,0,1269,0.040697056635851665,0.7566942939113803,0.13561258102220805,0.001779832111359048,0.03046966316013176,0,0.033710551482307935,10205,4529,74564,19128
19131,ZCTA5 19131,44723,1612,4821,35755,157,1548,29,2343,0.03604409364309192,0.10779688303557454,0.7994767792858261,0.0035104979540728485,0.03461306262996668,6.484359278223732e-4,0.05238915099613174,13016,8703,37345,19131
19401,ZCTA5 19401,41897,9812,15083,13452,24,1634,51,4762,0.2341933790008831,0.3600019094445903,0.3210731078597513,5.728333770914385e-4,0.03900040575697544,0.001217270926319307,0.11365968923789292,10256,6392,53696,19401
19472,ZCTA5 19472,10,0,10,0,0,0,0,0,0,1,0,0,0,0,0,10,0,NA,19472
19505,ZCTA5 19505,3540,7,3497,23,0,3,0,0,0.0019774011299435027,0.9878531073446327,0.0064971751412429375,0,8.47457627118644e-4,0,0,1472,430,75767,19505
19003,ZCTA5 19003,13427,654,10449,1306,35,415,0,686,0.0487078275117301,0.7782080881805318,0.09726670142250689,0.0026066880166828034,0.030907872197810382,0,0.051091085126982946,3472,936,99923,19003
19010,ZCTA5 19010,21572,1104,16582,1143,0,1939,7,1757,0.051177452252920454,0.7686816243278324,0.05298535138142036,0,0.08988503615798257,3.2449471537177824e-4,0.08144817355831634,6596,1813,119698,19010
19012,ZCTA5 19012,6328,499,3147,1906,8,600,0,208,0.07885587863463969,0.4973135271807838,0.30120101137800254,0.0012642225031605564,0.09481668773704172,0,0.03286978508217446,1909,551,100859,19012
19034,ZCTA5 19034,5852,190,5114,146,0,332,0,229,0.032467532467532464,0.8738892686261107,0.024948735475051265,0,0.05673274094326726,0,0.03913192071086808,2219,462,126198,19034
19035,ZCTA5 19035,3453,103,3016,26,7,184,0,130,0.029829134086301768,0.8734433825658847,0.007529684332464524,0.002027222704894295,0.05328699681436432,0,0.037648421662322615,1746,366,205764,19035
19040,ZCTA5 19040,20901,1272,18143,615,6,356,13,679,0.060858332137218314,0.8680445911678867,0.029424429453136215,2.8706760442084113e-4,0.01703267786230324,6.21979809578489e-4,0.03248648390029185,6650,1979,85931,19040
19053,ZCTA5 19053,26293,790,22799,657,1,1365,67,1613,0.030046019853192864,0.8671129197885369,0.024987639295630016,3.8032936523028945e-5,0.051914958353934504,0.002548206747042939,0.06134712661164569,8209,3129,82087,19053
19095,ZCTA5 19095,7070,286,3192,2536,57,616,4,393,0.04045261669024045,0.4514851485148515,0.3586987270155587,0.008062234794908063,0.08712871287128712,5.657708628005657e-4,0.05558698727015559,2669,883,76586,19095
